dda_agent_name,game_id,interval_number,action_name,health_start,health_end,kills_interval,damage_taken_interval,damage_dealt_interval,zombies_alive_start
RL_best_dda_model_2,1,1,Slightly Easier,0,0,0,0.0,0.0,6
RL_best_dda_model_2,5,1,Slightly Easier,0,0,0,0.0,0.0,4
RL_best_dda_model_2,10,1,Slightly Easier,0,0,0,0.0,0.0,6
RL_best_dda_model_2,12,1,Much Harder,0,0,0,0.0,0.0,7
RL_best_dda_model_2,13,1,Slightly Easier,0,0,0,0.0,0.0,7
RL_best_dda_model_2,18,1,Slightly Easier,0,0,0,0.0,0.0,6
RL_best_dda_model_2,24,1,Slightly Easier,-5,-5,0,0.0,0.0,6
RL_best_dda_model_2,29,1,Much Harder,0,0,0,0.0,0.0,3
RL_best_dda_model_2,30,1,Much Harder,0,0,0,0.0,0.0,5
RL_best_dda_model_2,34,1,Slightly Easier,0,0,0,0.0,0.0,6
RL_best_dda_model_2,37,1,Much Harder,0,0,0,0.0,0.0,3
RL_best_dda_model_2,62,1,Much Harder,0,0,0,0.0,0.0,3
RL_best_dda_model_2,63,1,Slightly Easier,-5,-5,0,0.0,0.0,7
RL_best_dda_model_2,76,1,Much Harder,0,0,0,0.0,0.0,4
RL_best_dda_model_2,83,1,Slightly Easier,-5,-5,0,0.0,0.0,4
RL_best_dda_model_2,88,1,Slightly Easier,-15,-15,0,0.0,0.0,4
RL_best_dda_model_2,89,1,Slightly Easier,0,0,0,0.0,0.0,6
RL_best_dda_model_2,91,1,Slightly Easier,0,0,0,0.0,0.0,3
RL_best_dda_model_2,94,1,Much Harder,-10,-10,0,0.0,0.0,5
RL_backup_best_dda_model,1,1,Much Easier,-5,-5,0,0.0,0.0,5
RL_backup_best_dda_model,6,1,Much Easier,0,0,0,0.0,0.0,4
RL_backup_best_dda_model,10,1,Slightly Easier,-15,-15,0,0.0,0.0,6
RL_backup_best_dda_model,32,1,Much Easier,0,0,0,0.0,0.0,4
RL_backup_best_dda_model,38,1,Much Harder,-5,-5,0,0.0,0.0,5
RL_backup_best_dda_model,39,1,Slightly Easier,0,0,0,0.0,0.0,5
RL_backup_best_dda_model,48,1,Slightly Easier,0,0,0,0.0,0.0,3
RL_backup_best_dda_model,49,1,Slightly Easier,-15,-15,0,0.0,0.0,7
RL_backup_best_dda_model,53,1,Slightly Easier,0,0,0,0.0,0.0,7
RL_backup_best_dda_model,57,1,Much Easier,0,0,0,0.0,0.0,4
RL_backup_best_dda_model,84,1,Much Easier,0,0,0,0.0,0.0,4
RL_backup_best_dda_model,85,1,Much Harder,0,0,0,0.0,0.0,5
RL_backup_best_dda_model,91,1,Much Harder,-5,-5,0,0.0,0.0,4
RL_backup_best_dda_model,97,1,Slightly Easier,0,0,0,0.0,0.0,5
RL_backup_best_dda_model,100,1,Much Harder,-10,-10,0,0.0,0.0,3
RL_best_dda_model_1,2,1,Slightly Harder,0,0,0,0.0,0.0,5
RL_best_dda_model_1,18,1,Slightly Harder,0,0,0,0.0,0.0,6
RL_best_dda_model_1,29,1,Slightly Harder,-10,-10,0,0.0,0.0,5
RL_best_dda_model_1,34,1,Slightly Harder,-10,-10,0,0.0,0.0,2
RL_best_dda_model_1,50,1,Slightly Harder,0,0,0,0.0,0.0,4
RL_best_dda_model_1,60,1,Slightly Harder,0,0,0,0.0,0.0,5
RL_best_dda_model_1,65,1,Slightly Harder,0,0,0,0.0,0.0,2
RL_best_dda_model_1,70,1,Slightly Harder,0,0,0,0.0,0.0,3
RL_best_dda_model_1,74,1,Slightly Harder,-10,-10,0,0.0,0.0,3
RL_best_dda_model_1,78,1,Slightly Harder,-5,-5,0,0.0,0.0,4
RL_best_dda_model_1,87,1,Slightly Harder,-15,-15,0,0.0,0.0,4
RL_best_dda_model_1,95,1,Slightly Harder,0,0,0,0.0,0.0,2
CNN_best_model,10,1,Do Nothing,0,0,0,0.0,0.0,3
CNN_best_model,35,1,Do Nothing,0,0,0,0.0,0.0,1
CNN_best_model,59,1,Do Nothing,0,0,0,0.0,0.0,2
CNN_best_model,97,1,Do Nothing,0,0,0,0.0,0.0,2
