timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3593,1,2413.6100000000138,3593,69,7,False,0,pistol,,,,,,,25.72263387305743,139.6824312210083
6724,2,162.14299999999156,3131,62,6,True,54,machinegun,,,,,,,15.815149568989387,337.7198395729065
7792,3,260.90000000000094,1068,18,2,False,0,pistol,,,,,,,60.96742236726957,355.23753452301025
10816,4,549.3619999999994,3024,57,6,False,0,pistol,,,,,,,14.868790511930994,558.6166391372681
12925,5,135.22149999999922,2109,38,2,False,0,pistol,,,,,,,19.492609651823624,666.8115787506104
15197,6,962.4149999999959,2272,43,5,False,0,pistol,,,,,,,20.054324860435013,780.1039440631866
19573,7,2426.4889999999923,4376,111,12,False,0,pistol,,,,,,,21.113251141658928,987.3672330379486
21370,8,750.5399999999988,1797,31,3,False,0,pistol,,,,,,,16.88213120216987,1094.122492313385
23236,9,1043.5375000000013,1866,35,4,False,0,pistol,,,,,,,18.196442649127018,1196.670096874237
23995,10,102.25200000000012,759,14,2,False,0,pistol,,,,,,,60.504521422748326,1209.2147417068481
24632,11,126.55250000000001,637,11,2,False,0,pistol,,,,,,,8.115964098856274,1287.7021353244781
28046,12,369.4184999999975,3414,69,7,False,0,pistol,,,,,,,28.426542629341537,1407.8012413978577
33057,13,944.3205000000028,5011,109,11,False,0,pistol,,,,,,,17.987309300517886,1686.3866312503815
35751,14,990.2060000000128,2694,54,6,False,0,pistol,,,,,,,23.7054877129349,1800.0312893390656
38834,15,1758.654000000014,3083,58,6,False,0,pistol,,,,,,,25.189993026185906,1922.4212563037872
42526,16,614.5110000000013,3692,84,9,False,0,pistol,,,,,,,17.77514040260218,2130.1271607875824
45861,17,623.201999999998,3335,68,7,False,0,pistol,,,,,,,13.830358484978612,2371.2634575366974
48092,18,513.2004999999982,2231,39,4,False,0,pistol,,,,,,,20.649038386447515,2479.3073856830597
50716,19,324.7209999999948,2624,50,6,False,0,pistol,,,,,,,24.21556190318083,2587.667545557022
55803,20,612.3410000000034,5087,109,10,False,0,pistol,,,,,,,18.12945596100832,2868.2607247829437
58906,21,-176.531500000008,3103,60,7,False,0,pistol,,,,,,,25.987819535927404,2987.662934064865
61629,22,245.33000000000197,2723,48,4,False,0,pistol,,,,,,,14.975181420877338,3169.4972138404846
64666,23,1878.5790000000077,3037,57,6,False,0,pistol,,,,,,,24.877952957367956,3291.5732610225677
67865,24,991.5525000000049,3199,62,7,False,0,pistol,,,,,,,15.37643750184211,3499.6189391613007
70806,25,-57.687500000000384,2941,57,6,False,0,pistol,,,,,,,24.42266557164441,3620.0399663448334
73831,26,993.0674999999986,3025,55,6,False,0,pistol,,,,,,,15.09273930499978,3820.467561006546
76561,27,1901.3100000000115,2730,53,6,True,50,machinegun,,,,,,,23.750741115866326,3935.4114294052124
77744,28,175.21149999999957,1183,21,3,False,0,pistol,,,,,,,62.2547522452736,3954.414082288742
78396,29,411.52250000000055,652,11,2,False,0,pistol,,,,,,,8.060830498877108,4035.2991213798523
79182,30,266.64750000000123,786,13,2,False,0,pistol,,,,,,,60.926345002494365,4048.2000257968903
81454,31,716.287500000008,2272,41,5,False,0,pistol,,,,,,,19.36402693753769,4165.53111076355
83546,32,961.8975000000007,2092,36,4,False,0,pistol,,,,,,,17.540616883383056,4284.797242641449
86903,33,1615.0264999999956,3357,63,7,False,0,pistol,,,,,,,14.643543193027595,4514.045205593109
90655,34,2184.313500000012,3752,73,8,False,0,pistol,,,,,,,16.864426678868387,4736.525427341461
91352,35,479.1150000000006,697,11,2,False,0,pistol,,,,,,,62.18630924773331,4747.733780622482
96207,36,1342.3270000000023,4855,99,10,False,0,pistol,,,,,,,19.9327978063085,4991.302284240723
97466,37,351.3720000000011,1259,23,3,True,48,machinegun,,,,,,,11.71921662547564,5098.7327671051025
100578,38,1540.147000000002,3112,66,6,False,0,pistol,,,,,,,15.905490740419571,5294.388619661331
103904,39,645.3149999999932,3326,65,7,True,50,machinegun,,,,,,,27.558252802216114,5415.078793525696
107521,40,952.2554999999875,3617,69,7,False,0,pistol,,,,,,,17.630852202860098,5620.230616569519
109789,41,378.86250000000047,2268,40,5,False,0,pistol,,,,,,,19.51952798103839,5736.422063827515
111598,42,795.1764999999988,1809,31,4,False,0,pistol,,,,,,,16.25664448999921,5847.699752807617
115024,43,1833.8505000000039,3426,61,7,False,0,pistol,,,,,,,15.61798337393743,6067.062406301498
118264,44,2355.303000000005,3240,66,7,True,50,machinegun,,,,,,,25.515682038007828,6194.04323887825
122387,45,2844.251999999988,4123,80,7,False,0,pistol,,,,,,,18.530622653120016,6416.539891719818
123835,46,835.3125000000022,1448,26,2,False,0,pistol,,,,,,,16.19782576815341,6506.17235994339
127622,47,1181.4875000000086,3787,70,8,False,0,pistol,,,,,,,19.577189790700803,6699.611853122711
130781,48,-132.82499999999825,3159,62,7,False,0,pistol,,,,,,,27.25287196967931,6815.526326179504
134186,49,773.6809999999916,3405,73,8,False,0,pistol,,,,,,,18.374412183799507,7000.838473558426
137270,50,2125.5809999999897,3084,64,7,True,48,machinegun,,,,,,,17.079598822136603,7181.404852151871
138925,51,321.6725000000023,1655,30,4,False,0,pistol,,,,,,,61.764734088381125,7208.200159072876
139910,52,392.2700000000006,985,18,2,False,0,pistol,,,,,,,11.925851967531878,7290.793919086456
141335,53,-49.99849999999998,1425,26,2,False,0,pistol,,,,,,,16.265561785723403,7378.402431726456
143814,54,-559.7199999999993,2479,45,5,False,0,pistol,,,,,,,23.471293946481897,7484.020898342133
146549,55,873.9574999999992,2735,53,6,False,0,pistol,,,,,,,24.94940262817413,7593.642872333527
149013,56,712.1085000000043,2464,46,5,True,49,machinegun,,,,,,,23.658407987589754,7697.791976690292
151315,57,482.6100000000004,2302,41,5,False,0,pistol,,,,,,,22.352241193805327,7800.779500246048
154785,58,-262.4760000000057,3470,74,8,False,0,pistol,,,,,,,14.916995001383755,8033.400177001953
157341,59,496.3335000000039,2556,49,5,False,0,pistol,,,,,,,20.82205135638726,8156.154810190201
160271,60,579.2550000000056,2930,54,6,False,0,pistol,,,,,,,15.037445473935982,8351.001883268356
163150,61,1456.2115000000063,2879,52,6,False,0,pistol,,,,,,,25.448172937213034,8464.133892059326
164924,62,479.3674999999952,1774,32,4,False,0,pistol,,,,,,,18.862581427846017,8558.182608366013
166734,63,484.82450000000256,1810,33,3,True,47,machinegun,,,,,,,19.104960455333472,8652.922488451004
168914,64,895.7125000000013,2180,39,4,False,0,pistol,,,,,,,21.70709292353131,8753.350578308105
171883,65,896.993999999996,2969,56,6,False,0,pistol,,,,,,,26.177655012429998,8866.768010139465
175983,66,181.10199999999583,4100,102,10,True,87,machinegun,,,,,,,20.79378215475625,9063.942420721054
178941,67,1594.3324999999911,2958,60,7,False,0,pistol,,,,,,,15.39912062493687,9256.031406402588
181694,68,1160.6644999999778,2753,54,6,False,0,pistol,,,,,,,24.927759693517356,9366.470623493195
185433,69,1811.9880000000117,3739,74,6,True,32,machinegun,,,,,,,18.639028685145924,9567.07129240036
186730,70,639.6749999999972,1297,21,1,False,0,pistol,,,,,,,13.930922733274464,9660.173617362976
189725,71,1064.0125000000087,2995,55,6,False,0,pistol,,,,,,,25.640014764897565,9776.983305454254
