timestep,episode,episode_reward,episode_length,zombies_killed,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3318,1,236.4100000000182,3318,53,,,,,,,1070.5650940578244,3.0992984771728516
6452,2,202.27000000001917,3134,52,,,,,,,700.7624365559628,7.5878355503082275
7936,3,89.68000000000141,1484,24,,,,,,,1917.046513504507,8.36214828491211
9332,4,55.989999999999355,1396,21,,,,,,,615.157142501437,10.631697654724121
10096,5,12.169999999999803,764,10,,,,,,,1871.2390704909972,11.04016375541687
10729,6,-22.080000000000048,633,9,,,,,,,339.28596346106144,12.906037330627441
11313,7,-7.230000000000032,584,8,,,,,,,1872.7248467667146,13.218112707138062
12027,8,6.869999999999827,714,11,,,,,,,1909.8831429976294,13.592113494873047
12295,9,-41.07000000000006,268,3,,,,,,,159.01132428961313,15.277743577957153
13348,10,28.479999999999464,1053,14,,,,,,,1830.0923424226025,15.853298664093018
14414,11,34.87999999999928,1066,16,,,,,,,510.8501491260382,17.94023108482361
15402,12,11.279999999999497,988,15,,,,,,,1844.7966957262668,18.475974321365356
16825,13,68.71000000000018,1423,20,,,,,,,618.6485941162978,20.776343822479248
17735,14,27.999999999999574,910,11,,,,,,,1894.8647740276374,21.25679922103882
18968,15,63.109999999998955,1233,18,,,,,,,557.215876866333,23.46974205970764
20229,16,66.11999999999897,1261,16,,,,,,,1889.42601647857,24.137356758117676
21754,17,94.69999999999835,1525,24,,,,,,,642.649821948711,26.51054358482361
22546,18,15.209999999999667,792,12,,,,,,,399.06867658893697,28.49538540840149
23990,19,80.73000000000121,1444,22,,,,,,,1885.5505312881078,29.26140594482422
25914,20,137.47000000000546,1924,30,,,,,,,724.9353942266516,31.915658950805664
27327,21,82.55000000000089,1413,22,,,,,,,617.4234680759474,34.20439648628235
30006,22,198.99000000001348,2679,44,,,,,,,892.6180649072758,37.20588302612305
31073,23,40.00999999999919,1067,14,,,,,,,496.4684904994979,39.35527777671814
32325,24,64.76999999999882,1252,17,,,,,,,1895.1880738100283,40.01620078086853
33827,25,76.70999999999928,1502,24,,,,,,,641.5980920235271,42.35743546485901
35537,26,93.41000000000251,1710,25,,,,,,,670.7899462592517,44.90689134597778
36687,27,43.99999999999916,1150,16,,,,,,,1845.3090365423593,45.530426263809204
37663,28,34.96999999999924,976,15,,,,,,,444.3314925714474,47.72722339630127
38983,29,57.02999999999883,1320,19,,,,,,,567.157072154527,50.05479717254639
40822,30,128.19000000000506,1839,27,,,,,,,1598.6483992220362,51.205345153808594
41915,31,22.599999999999547,1093,18,,,,,,,422.49030439028724,53.7926230430603
43669,32,83.6800000000001,1754,26,,,,,,,599.6407780648861,56.71794772148132
44829,33,55.049999999998875,1160,16,,,,,,,1629.345762468931,57.430097818374634
46524,34,72.30999999999833,1695,24,,,,,,,661.4937569615603,59.99290442466736
47969,35,85.56000000000006,1445,21,,,,,,,582.8341434757451,62.472391843795776
48846,36,24.38999999999956,877,13,,,,,,,1669.026675172715,62.99807262420654
50315,37,83.18000000000038,1469,22,,,,,,,616.4726389309808,65.38117146492004
51343,38,40.829999999999174,1028,15,,,,,,,448.58712297643956,67.67299556732178
52521,39,41.729999999998945,1178,17,,,,,,,1773.6390354290572,68.33734798431396
53086,40,-9.479999999999997,565,8,,,,,,,1715.3785617289134,68.66692996025085
53686,41,-5.7300000000000395,600,9,,,,,,,289.5838161490077,70.73907947540283
54523,42,19.699999999999534,837,12,,,,,,,1634.5255994625195,71.25137662887573
55612,43,42.10999999999901,1089,15,,,,,,,494.18556444042827,73.45527935028076
56960,44,35.13999999999877,1348,20,,,,,,,1876.0078346143828,74.17402029037476
57781,45,8.249999999999638,821,11,,,,,,,404.23476705096584,76.20524144172668
59175,46,64.95000000000007,1394,20,,,,,,,1844.4538796606148,76.96124505996704
59965,47,14.729999999999578,790,12,,,,,,,383.15042021082235,79.02330756187439
62151,48,109.78999999999814,2186,33,,,,,,,780.7847049542399,81.82327175140381
63545,49,79.79000000000055,1394,21,,,,,,,586.4689017080827,84.20042753219604
64370,50,19.03999999999988,825,14,,,,,,,1804.1305785020552,84.6578779220581
65807,51,75.51999999999877,1437,22,,,,,,,529.3540229866886,87.37267065048218
66838,52,36.49999999999979,1031,16,,,,,,,1788.5048148247718,87.94937658309937
67392,53,-10.450000000000031,554,9,,,,,,,1604.919662998178,88.29472708702087
67909,54,-14.650000000000029,517,6,,,,,,,247.86562741934029,90.3807430267334
68530,55,-18.050000000000086,621,9,,,,,,,1350.611008412207,90.840749502182
69143,56,-18.690000000000097,613,10,,,,,,,1680.6508126071606,91.20569276809692
70379,57,63.47999999999877,1236,18,,,,,,,519.8574872263299,93.58350706100464
71554,58,32.499999999999154,1175,17,,,,,,,1866.9683127643727,94.21309566497803
72842,59,54.84999999999908,1288,20,,,,,,,567.3162150533931,96.48364996910095
73698,60,22.739999999999583,856,12,,,,,,,1856.335802019759,96.94499015808105
74802,61,29.459999999999404,1104,15,,,,,,,507.8359439029406,99.1191635131836
75595,62,1.0799999999997922,793,12,,,,,,,1841.3882768612589,99.55000233650208
