timestep,episode,episode_reward,episode_length,zombies_killed,wave,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
1673,1,114.19000000000175,1673,30,4,,,,,,,736.1650302362817,2.2725889682769775
4068,2,192.0700000000041,2395,39,3,,,,,,,427.3238112505053,7.8874452114105225
6118,3,173.1900000000034,2050,37,4,,,,,,,513.4555898509924,11.893766403198242
7211,4,70.61999999999979,1093,18,1,,,,,,,393.5680800450746,14.671136140823364
7965,5,8.04999999999982,754,10,5,,,,,,,873.0399673587114,15.534955739974976
8964,6,41.65999999999925,999,14,2,,,,,,,370.3676590344936,18.232483863830566
10267,7,81.43999999999917,1303,20,3,,,,,,,424.2853576558536,21.303786277770996
11232,8,41.20999999999982,965,15,3,,,,,,,756.0999063539052,22.58030915260315
12077,9,28.91999999999983,845,12,2,,,,,,,826.5444079779718,23.60281777381897
12718,10,3.8900000000000716,641,9,1,,,,,,,260.85541595761885,26.06029486656189
13456,11,15.049999999999933,738,10,2,,,,,,,796.6936818055117,26.986797094345093
14637,12,65.61999999999966,1181,18,2,,,,,,,405.6950296826069,29.898069858551025
15418,13,17.269999999999882,781,11,2,,,,,,,874.0737741159004,30.791791200637817
16437,14,24.459999999999752,1019,16,2,,,,,,,354.6461534836053,33.665197134017944
17496,15,51.71,1059,15,2,,,,,,,906.6212807092671,34.83341145515442
18922,16,99.6900000000007,1426,22,2,,,,,,,411.84599321595636,38.29606914520264
20164,17,72.51999999999987,1242,20,3,,,,,,,758.4725977584451,39.93369698524475
20993,18,27.659999999999904,829,12,1,,,,,,,319.3405271048541,42.52984404563904
23352,19,168.38000000000426,2359,43,5,,,,,,,532.2009070212333,46.962674379348755
26337,20,287.8100000000126,2985,53,4,,,,,,,553.0260154180328,52.360459327697754
28385,21,169.88000000000332,2048,34,4,,,,,,,501.50977145809674,56.45179510116577
29927,22,108.79000000000137,1542,27,4,,,,,,,462.8845087679872,59.78328561782837
30188,23,-41.06000000000006,261,3,1,,,,,,,730.861336324307,60.14061689376831
32210,24,170.22000000000418,2022,34,4,,,,,,,488.72779577084697,64.27805304527283
33350,25,47.93999999999946,1140,18,2,,,,,,,355.1045501667389,67.48852181434631
34430,26,42.38999999999933,1080,16,2,,,,,,,750.9209981450139,68.92695474624634
35635,27,66.11999999999946,1205,17,2,,,,,,,316.08601260182303,72.73939633369446
36727,28,49.3899999999993,1092,17,2,,,,,,,666.8959409473744,74.37710332870483
37635,29,32.44999999999953,908,13,1,,,,,,,305.21745638016716,77.35218453407288
38549,30,18.399999999999565,914,15,2,,,,,,,616.9773750995412,78.83376240730286
39756,31,67.09999999999914,1207,18,2,,,,,,,358.1692450834129,82.20382356643677
41074,32,74.34999999999904,1318,20,3,,,,,,,368.0041390451837,85.78548622131348
42031,33,32.91999999999938,957,13,3,,,,,,,650.3804187310648,87.25716543197632
43718,34,107.39000000000247,1687,25,4,,,,,,,390.15185097126204,91.58126902580261
44423,35,12.059999999999832,705,11,2,,,,,,,671.0319877675008,92.6320447921753
45453,36,45.999999999999204,1030,15,2,,,,,,,374.8957999687076,95.37970638275146
46524,37,52.0699999999993,1071,17,3,,,,,,,720.6665125471322,96.86601901054382
47658,38,40.349999999999206,1134,17,2,,,,,,,330.835463577458,100.29398107528687
49237,39,101.59000000000023,1579,26,3,,,,,,,394.4487538407468,104.29720187187195
49713,40,-15.920000000000007,476,6,1,,,,,,,797.2022908764643,104.8944890499115
51487,41,113.33000000000197,1774,27,3,,,,,,,409.6757975639672,109.22491383552551
52298,42,20.659999999999663,811,12,2,,,,,,,673.9140600126914,110.42850875854492
53846,43,83.04000000000222,1548,23,3,,,,,,,419.096828164095,114.12239527702332
54945,44,68.79999999999968,1099,17,1,,,,,,,857.1963787371029,115.40469408035278
56523,45,118.13000000000115,1578,26,7,,,,,,,398.7481568789809,119.3622739315033
57071,46,-9.19000000000024,548,8,1,,,,,,,815.4916081814598,120.03443622589111
57991,47,37.539999999999495,920,14,3,,,,,,,287.1687255195555,123.23834466934204
59110,48,58.289999999999246,1119,16,2,,,,,,,748.9056528386739,124.73271083831787
61158,49,165.470000000004,2048,29,2,,,,,,,456.5352100279918,129.2188687324524
61802,50,6.829999999999835,644,10,3,,,,,,,244.9232388534307,131.84851694107056
62475,51,14.639999999999915,673,11,4,,,,,,,760.9214169781725,132.73328804969788
63284,52,25.75999999999965,809,12,2,,,,,,,905.1512103878699,133.62722063064575
64535,53,75.08999999999922,1251,19,1,,,,,,,416.4104753964176,136.63161635398865
65666,54,53.21999999999912,1131,17,3,,,,,,,351.9534543019937,139.84537076950073
67613,55,155.58000000000516,1947,33,4,,,,,,,522.1365333304008,143.57454705238342
68839,56,68.01999999999929,1226,18,3,,,,,,,852.5627207376231,145.0128412246704
70343,57,100.06000000000088,1504,23,4,,,,,,,404.37283540646877,148.73232507705688
70954,58,0.9500000000000242,611,9,1,,,,,,,851.856986722475,149.44976687431335
72289,59,76.44999999999938,1335,21,4,,,,,,,372.55076102701236,153.0333743095398
73431,60,50.709999999999255,1142,18,3,,,,,,,873.6042394990108,154.34077262878418
74138,61,14.499999999999815,707,12,2,,,,,,,313.4891562250377,156.59623885154724
76074,62,133.11000000000192,1936,32,4,,,,,,,492.7235647137085,160.5256290435791
77922,63,143.6800000000031,1848,29,3,,,,,,,462.5911009324664,164.52068543434143
79254,64,87.53999999999976,1332,22,4,,,,,,,768.1375879892091,166.2549364566803
80651,65,95.69999999999985,1397,23,3,,,,,,,406.0629360394204,169.69546175003052
82014,66,102.9500000000007,1363,23,3,,,,,,,419.7650109202971,172.94274306297302
83599,67,109.83000000000162,1585,26,2,,,,,,,876.1556216072383,174.75203680992126
84458,68,33.67999999999963,859,13,3,,,,,,,351.76955346766533,177.1941556930542
85516,69,55.969999999999274,1058,16,4,,,,,,,778.9043094853612,178.55265355110168
87427,70,154.20000000000402,1911,33,6,,,,,,,446.0271308505373,182.8373568058014
88656,71,55.70999999999926,1229,18,1,,,,,,,358.47136693401114,186.26602149009705
89115,72,-23.46000000000011,459,7,1,,,,,,,611.3928301488924,187.01702451705933
90782,73,112.83000000000068,1667,27,3,,,,,,,465.3888777731851,190.59912848472595
92289,74,101.51999999999965,1507,25,5,,,,,,,444.3318226830367,193.9908902645111
95998,75,351.6100000000181,3709,65,5,,,,,,,588.7764201695411,200.29060530662537
