timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
376,1,7.075668324824214,376,4,1,False,0,pistol,,,,,,,459.4294790169097,0.8184070587158203
3681,2,1012.6564412116445,3305,57,6,False,0,pistol,,,,,,,443.55880451049654,8.279196739196777
6249,3,684.7517077878892,2568,45,5,False,0,pistol,,,,,,,291.83546745503355,17.085601806640625
7776,4,344.0200000000135,1527,24,3,False,0,pistol,,,,,,,796.6555836211937,19.002579927444458
9245,5,353.0382573928942,1469,25,3,False,0,pistol,,,,,,,313.4141012404498,23.68986225128174
10853,6,422.91740256149694,1608,27,3,True,81,pistol,,,,,,,335.85484370225686,28.47782564163208
12073,7,248.30710692587036,1220,18,2,False,0,pistol,,,,,,,885.2595763909829,29.8561851978302
13843,8,417.79310277654196,1770,29,3,False,0,pistol,,,,,,,355.020784295666,34.84212517738342
15683,9,464.25854344534656,1840,32,4,False,0,pistol,,,,,,,340.0642469751653,40.25307083129883
18739,10,895.8632771882216,3056,55,6,False,0,pistol,,,,,,,317.4404580013153,49.880319595336914
19739,11,177.030000000004,1000,14,1,False,0,pistol,,,,,,,862.2746612414868,51.04032349586487
21602,12,465.40521830362206,1863,31,4,True,34,machinegun,,,,,,,361.1581607953959,56.19887971878052
23137,13,345.06000000001404,1535,24,3,True,50,pistol,,,,,,,276.41600195089194,61.75231099128723
24797,14,369.5700000000157,1660,24,3,False,0,pistol,,,,,,,295.7471321101296,67.36545610427856
25550,15,113.93000000000166,753,10,2,False,0,pistol,,,,,,,717.383645490184,68.41575002670288
26384,16,154.78148400888466,834,12,2,True,49,machinegun,,,,,,,663.0596711134127,69.67374277114868
27364,17,191.23714593263412,980,15,2,False,0,pistol,,,,,,,211.0315523756066,74.3177843093872
28215,18,160.4077450184541,851,13,2,False,0,pistol,,,,,,,764.2669124183992,75.43149304389954
29089,19,181.56105100731327,874,15,2,False,0,pistol,,,,,,,183.97973012885882,80.18219685554504
29678,20,52.2199999999994,589,6,1,False,0,pistol,,,,,,,587.1143433287189,81.18564867973328
31004,21,269.0100000000087,1326,19,2,False,0,pistol,,,,,,,294.43144121688687,85.68949174880981
31858,22,160.06952406046156,854,12,2,False,0,pistol,,,,,,,826.9647093046746,86.72234535217285
32581,23,111.69107163181799,723,10,2,False,0,pistol,,,,,,,903.6978052155224,87.5225887298584
33631,24,191.33000000000504,1050,15,1,False,0,pistol,,,,,,,231.21331493084972,92.0640459060669
34522,25,153.05846801200303,891,12,2,False,0,pistol,,,,,,,792.5680646249053,93.18846416473389
35448,26,165.72307650746546,926,13,2,False,0,pistol,,,,,,,193.14592832716406,97.98292970657349
36866,27,324.5869673692269,1418,23,3,False,0,pistol,,,,,,,234.79166143264558,104.02254033088684
37531,28,107.28702879070923,665,10,2,False,0,pistol,,,,,,,654.0992912391835,105.03941535949707
38134,29,65.80267739982116,603,7,1,False,0,pistol,,,,,,,516.0899370264511,106.20802545547485
39071,30,188.63727518153297,937,15,2,False,0,pistol,,,,,,,189.06236610701893,111.16425800323486
40599,31,364.74338095701535,1528,25,3,False,0,pistol,,,,,,,845.0814400557401,112.97260093688965
41933,32,354.64915834917394,1334,22,3,True,30,machinegun,,,,,,,236.32546508401182,118.6175286769867
43780,33,494.33934729505415,1847,28,3,True,7,pistol,,,,,,,233.64402977588705,126.52292203903198
44448,34,107.41274869108507,668,9,1,False,0,pistol,,,,,,,487.8567664779929,127.8925051689148
45244,35,131.5882797622522,796,12,2,False,0,pistol,,,,,,,144.28724323031085,133.4094681739807
47613,36,918.9500000000254,2369,40,5,False,0,pistol,,,,,,,325.16869081975557,140.69516849517822
49443,37,554.270000000018,1830,29,3,False,0,pistol,,,,,,,318.84483732594714,146.43484163284302
51302,38,597.802946134927,1859,32,4,True,3,machinegun,,,,,,,338.5821541249193,151.9256148338318
53429,39,736.9450087751629,2127,36,4,False,0,pistol,,,,,,,379.30628611341103,157.5334188938141
55734,40,961.8496451307608,2305,41,5,False,0,pistol,,,,,,,416.01415671903476,163.07431054115295
58200,41,713.028215523778,2466,45,4,True,86,pistol,,,,,,,439.1353617295673,168.69010734558105
59651,42,339.20815152310246,1451,24,3,False,0,pistol,,,,,,,319.6578492123286,173.22954773902893
61226,43,399.7249629213683,1575,26,3,False,0,pistol,,,,,,,901.4689950465819,174.97691869735718
62302,44,323.61267657126206,1076,16,2,True,18,pistol,,,,,,,264.24059625978686,179.04914569854736
63229,45,184.13645143690275,927,15,2,True,47,machinegun,,,,,,,904.8327723682639,180.0738787651062
64151,46,192.4061090682846,922,15,2,True,48,machinegun,,,,,,,229.0802315191412,184.0988097190857
65296,47,239.69000000000693,1145,18,2,False,0,pistol,,,,,,,908.2144337633023,185.35976266860962
66909,48,394.0968970346054,1613,26,3,False,0,pistol,,,,,,,344.954314414367,190.03594660758972
67821,49,179.0300000000036,912,14,2,False,0,pistol,,,,,,,229.114764105914,194.01663398742676
69681,50,446.15565078613827,1860,30,4,False,0,pistol,,,,,,,369.1104809816494,199.05600214004517
70124,51,45.394154850807716,443,6,1,False,0,pistol,,,,,,,915.0233803941924,199.5404191017151
71369,52,264.74089236433997,1245,19,2,False,0,pistol,,,,,,,899.5794504338023,200.92463660240173
72409,53,203.49569780534853,1040,16,2,False,0,pistol,,,,,,,250.2551508087971,205.08058881759644
73559,54,252.81000000000705,1150,18,2,False,0,pistol,,,,,,,900.8470684297941,206.35745906829834
75376,55,422.81038500334154,1817,28,1,False,0,pistol,,,,,,,372.8598552309382,211.2307870388031
76856,56,327.97411681303373,1480,23,1,False,0,pistol,,,,,,,330.771801412762,215.7054591178894
78706,57,569.5100000000186,1850,31,3,False,0,pistol,,,,,,,369.7629950437842,220.7088701725006
80221,58,501.92756991359704,1515,25,3,True,49,pistol,,,,,,,328.4187219592172,225.32208013534546
81751,59,547.7500000000127,1530,25,2,False,0,pistol,,,,,,,902.4389829569377,227.01776552200317
83619,60,477.89671449217315,1868,33,4,False,0,pistol,,,,,,,372.920292222504,232.02707862854004
84930,61,308.54284700745916,1311,22,3,False,0,pistol,,,,,,,301.41144839274216,236.3768448829651
87040,62,533.0800000000182,2110,36,4,False,0,pistol,,,,,,,401.4945536809325,241.63239121437073
89572,63,864.0108840033088,2532,45,5,False,0,pistol,,,,,,,441.96766113344466,247.36159133911133
