timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,curriculum_stage,kill_streak,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3245,1,994.0270320393109,3245,39,2,False,0,pistol,1,1,,,,,,,521.2143611663239,6.225847005844116
5107,2,653.4160250130117,1862,22,3,False,0,pistol,1,1,,,,,,,513.0700687591149,9.862061262130737
6185,3,473.3500000000055,1078,12,2,True,90,pistol,1,1,,,,,,,372.97193615858004,12.752556324005127
8197,4,1213.318147261559,2012,24,2,True,40,machinegun,1,1,,,,,,,535.0027801451245,16.51349687576294
9318,5,283.0886266858202,1121,12,2,False,0,pistol,1,2,,,,,,,863.6593014554206,17.824867486953735
11111,6,693.3950000000098,1793,20,3,False,0,pistol,1,1,,,,,,,488.8899669340168,21.492589712142944
13279,7,694.708157413962,2168,23,3,False,0,pistol,1,1,,,,,,,512.0929596792978,25.726412057876587
15011,8,604.2969446388582,1732,20,3,False,0,pistol,1,1,,,,,,,472.2733117081358,29.39403223991394
16604,9,492.53953619628413,1593,17,2,False,0,pistol,1,1,,,,,,,462.26987501846406,32.84028339385986
18335,10,1051.5650000000128,1731,17,2,True,20,pistol,1,1,,,,,,,885.0695068833481,34.79627752304077
19834,11,459.36399139054913,1499,17,2,False,0,pistol,1,1,,,,,,,390.79585685371273,38.6326162815094
20226,12,128.17424584968938,392,4,1,False,0,pistol,1,1,,,,,,,832.3754907554458,39.10390663146973
21441,13,416.2800000000036,1215,14,2,False,0,pistol,1,3,,,,,,,363.44845017610146,42.447295904159546
23285,14,1467.3266350260296,1844,21,3,False,0,pistol,1,1,,,,,,,488.4196180798507,46.22310280799866
25725,15,2046.1175221366475,2440,29,2,True,12,pistol,1,2,,,,,,,575.7403714652993,50.46862602233887
27437,16,1407.521904629627,1712,21,3,False,0,pistol,1,1,,,,,,,492.09315729502316,53.96115231513977
30671,17,1032.744362149756,3234,38,4,True,50,machinegun,1,1,,,,,,,638.64827758822,59.025413036346436
33139,18,891.3922774156804,2468,28,3,False,0,pistol,1,1,,,,,,,425.88817974329146,64.8207278251648
35279,19,1175.3100000000097,2140,25,2,False,0,pistol,1,1,,,,,,,525.9740663997675,68.88969945907593
37173,20,1317.0294006942042,1894,23,3,False,0,pistol,1,1,,,,,,,531.8696701636287,72.45105934143066
37954,21,809.8050000000048,781,10,1,True,3,machinegun,1,1,,,,,,,883.758206341905,73.33510184288025
40414,22,1714.1250000000086,2460,29,3,False,0,pistol,1,1,,,,,,,570.0275870915946,77.65097999572754
45173,23,2061.777032881076,4759,60,7,False,0,pistol,1,1,,,,,,,481.9234572278682,87.5263659954071
47100,24,592.9000000000079,1927,22,3,False,0,pistol,1,1,,,,,,,887.1808007544922,89.71152186393738
49361,25,1823.0725398395916,2261,27,3,False,0,pistol,1,1,,,,,,,400.4394400101409,95.35823965072632
51296,26,686.1757838971573,1935,23,3,False,0,pistol,1,1,,,,,,,522.8078256733987,99.05977749824524
52986,27,473.3104628866885,1690,16,1,False,0,pistol,1,1,,,,,,,893.6234178511785,100.95120620727539
54086,28,549.6299999999998,1100,14,2,True,37,machinegun,1,2,,,,,,,402.88610197831605,103.68185544013977
55616,29,1882.6917989636197,1530,18,2,True,4,machinegun,1,2,,,,,,,470.0079561626643,106.93754529953003
57482,30,1429.186404365657,1866,22,3,False,0,pistol,1,1,,,,,,,522.5748241346246,110.5086886882782
59395,31,1763.5400000000454,1913,21,3,True,32,machinegun,1,1,,,,,,,530.4231141337002,114.11566638946533
61432,32,1501.6750000000454,2037,25,3,False,0,pistol,1,2,,,,,,,900.0499703926677,116.37915658950806
63022,33,546.4300000000065,1590,19,2,True,50,machinegun,1,1,,,,,,,469.8856911792568,119.76323580741882
65363,34,1559.8350000000078,2341,25,2,False,0,pistol,1,1,,,,,,,579.2568387635791,123.80505537986755
66981,35,1408.452759692089,1618,20,2,False,0,pistol,1,1,,,,,,,477.3728079884587,127.19486546516418
68343,36,561.4090889311163,1362,17,2,False,0,pistol,1,1,,,,,,,443.50035611125577,130.26626467704773
69969,37,564.4200000000071,1626,18,2,False,0,pistol,1,2,,,,,,,483.47574166877627,133.6298644542694
71330,38,350.85687695185413,1361,15,2,False,0,pistol,1,2,,,,,,,881.3712591750839,135.1743392944336
72430,39,1234.047078965794,1100,13,2,False,0,pistol,1,1,,,,,,,396.1149991302826,137.95162987709045
73821,40,593.8724763099505,1391,17,2,False,0,pistol,1,1,,,,,,,450.09591000730813,141.0424132347107
75291,41,1321.275069881964,1470,16,2,False,0,pistol,1,1,,,,,,,913.4811486439036,142.65207695960999
75983,42,354.24850856177636,692,9,1,False,0,pistol,1,1,,,,,,,297.11866695657267,144.9814236164093
77538,43,625.025000000011,1555,17,2,False,0,pistol,1,1,,,,,,,899.1460257291857,146.711350440979
78693,44,331.88861589964847,1155,12,2,False,0,pistol,1,1,,,,,,,421.6702172727185,149.45085859298706
80086,45,1107.5450000000092,1393,16,2,True,3,machinegun,1,1,,,,,,,465.93428778109677,152.44084358215332
81276,46,880.3450000000025,1190,11,2,True,13,machinegun,1,1,,,,,,,851.4689805941593,153.83883118629456
82748,47,408.00500000000926,1472,15,2,False,0,pistol,1,1,,,,,,,456.6954114801281,157.06239676475525
84007,48,449.3750000000038,1259,13,1,False,0,pistol,1,1,,,,,,,425.84207994571807,160.01919174194336
86503,49,1539.10212588982,2496,28,3,False,0,pistol,1,1,,,,,,,593.1114422483906,164.2278435230255
87227,50,243.5213191576986,724,8,1,False,0,pistol,1,1,,,,,,,832.4274237474633,165.0979449748993
88724,51,550.2450000000099,1497,17,2,False,0,pistol,1,1,,,,,,,478.70738981635606,168.2254514694214
